"Kön","Ålder","Ålder5","Ålder10","Avdelning","Omfattning","Frånvaro","Lön","Anställning","Förtroendearbetstid","Karriaärnivå","Arbetsområde","Arbetsområde1","Personalansvar","Anställd_sedan","Anställningstid"
"man",53,"50-54","50-59","Logistik",100,0,48875,"Tillsvidare","Ja",5,10,1,NA,1993-02-16,309
"man",57,"55-59","50-59","Logistik",100,0,52020,"Tillsvidare","Ja",5,10,1,NA,1993-09-01,303
"kvinna",49,"45-49","40-49","Logistik",100,0,47515,"Tillsvidare","Ja",5,10,1,NA,2003-09-01,183
"kvinna",52,"50-54","50-59","Logistik",100,20,50915,"Tillsvidare","Ja",5,10,1,NA,1996-07-31,268
"man",54,"50-54","50-59","Logistik",100,0,49300,"Tillsvidare","Ja",5,10,1,NA,1990-08-28,339
"kvinna",49,"45-49","40-49","Logistik",100,0,47515,"Tillsvidare","Ja",5,10,1,NA,1998-03-01,249
"man",52,"50-54","50-59","Logistik",100,0,47685,"Tillsvidare","Ja",5,10,1,NA,1997-08-26,255
"kvinna",41,"40-44","40-49","Logistik",100,0,48450,"Tillsvidare","Ja",5,10,1,NA,2004-01-15,178
"man",40,"40-44","40-49","Ekonomi",100,0,56950,"Tillsvidare","Ja",5,10,1,NA,2014-01-07,58
"man",49,"45-49","40-49","Ekonomi",100,0,60520,"Tillsvidare","Ja",5,10,1,"Ja",2002-12-03,192
"man",39,"35-39","30-39","Ekonomi",100,0,58905,"Tillsvidare","Ja",5,10,1,"Ja",2005-02-04,166
"kvinna",52,"50-54","50-59","Ekonomi",100,0,57375,"Tillsvidare","Ja",5,10,1,"Nej",2007-01-16,142
"man",39,"35-39","30-39","Ekonomi",100,0,43222.5,"Tillsvidare","Ja",3,10,1,NA,2014-05-06,55
"kvinna",38,"35-39","30-39","Ekonomi",100,0,46495,"Tillsvidare","Ja",3,10,1,NA,2015-09-01,39
"man",38,"35-39","30-39","Ekonomi",100,0,39525,"Tillsvidare","Ja",3,10,1,NA,2014-07-18,52
"kvinna",32,"30-34","30-39","Ekonomi",100,0,32300,"Tillsvidare","Nej",3,10,1,NA,2013-04-18,67
"kvinna",31,"30-34","30-39","Ekonomi",100,0,30600,"Tillsvidare","Nej",3,10,1,NA,2014-02-18,57
"man",30,"30-34","30-39","Ekonomi",100,0,29665,"Tillsvidare","Nej",3,10,1,NA,2013-06-07,65
"kvinna",55,"55-59","50-59","Ekonomi",100,0,34425,"Tillsvidare","Nej",3,10,1,NA,1981-09-29,446
"kvinna",45,"45-49","40-49","Ekonomi",100,20,39950,"Tillsvidare","Ja",3,10,1,NA,2015-01-07,46
"kvinna",41,"40-44","40-49","Ekonomi",100,0,34000,"Tillsvidare","Nej",3,10,1,NA,2010-07-27,100
"kvinna",37,"35-39","30-39","Ekonomi",100,25,33320,"Tillsvidare","Nej",3,10,1,NA,2007-10-24,133
"man",32,"30-34","30-39","Ekonomi",100,80,31790,"Tillsvidare","Nej",3,10,1,NA,2012-06-12,77
"kvinna",31,"30-34","30-39","Ekonomi",100,0,31960,"Tillsvidare","Nej",3,10,1,NA,2013-01-08,70
"kvinna",51,"50-54","50-59","Ekonomi",100,3.23,31535,"Tillsvidare","Nej",3,10,1,NA,2002-06-01,198
"kvinna",37,"35-39","30-39","Ekonomi",100,0,39440,"Tillsvidare","Ja",3,10,1,NA,2014-01-10,58
"kvinna",36,"35-39","30-39","Ekonomi",100,6.45,40800,"Tillsvidare","Ja",3,10,1,NA,2014-09-16,50
"kvinna",33,"30-34","30-39","Ekonomi",100,100,35615,"Tillsvidare","Nej",3,10,1,NA,2013-08-20,63
"kvinna",30,"30-34","30-39","Ekonomi",100,0,29750,"Tidsbegränsad","Nej",3,10,1,NA,2016-08-02,28
"man",39,"35-39","30-39","Ekonomi",100,9.68,36550,"Tidsbegränsad","Nej",3,10,1,NA,2016-08-31,27
"kvinna",38,"35-39","30-39","Ekonomi",100,3.23,36380,"Tillsvidare","Nej",3,10,1,NA,2011-02-01,94
"man",32,"30-34","30-39","Ekonomi",100,0,31705,"Tillsvidare","Nej",3,10,1,NA,2011-07-12,88
"kvinna",27,"25-29","-29","Ekonomi",100,0,24650,"Tidsbegränsad","Nej",3,10,1,NA,2017-02-02,22
"kvinna",41,"40-44","40-49","Ekonomi",100,0,43690,"Tillsvidare","Nej",4,10,1,NA,2003-02-01,190
"man",49,"45-49","40-49","Ekonomi",100,0,43775,"Tillsvidare","Ja",4,10,1,NA,2004-04-21,175
"kvinna",45,"45-49","40-49","Ekonomi",100,25,40120,"Tillsvidare","Nej",4,10,1,NA,1999-06-22,233
"man",44,"40-44","40-49","Ekonomi",100,0,43010,"Tillsvidare","Ja",4,10,1,NA,2003-02-12,189
"kvinna",49,"45-49","40-49","Ekonomi",100,0,44625,"Tillsvidare","Nej",4,10,1,NA,1996-08-31,267
"man",46,"45-49","40-49","Ekonomi",100,0,44625,"Tillsvidare","Ja",4,10,1,NA,2002-06-01,198
"kvinna",42,"40-44","40-49","Ekonomi",100,100,44965,"Tillsvidare","Ja",4,10,1,NA,2010-02-16,105
"kvinna",36,"35-39","30-39","Ekonomi",100,0,43010,"Tillsvidare","Ja",4,10,1,NA,2012-12-31,71
"man",55,"55-59","50-59","Ekonomi",100,0,40120,"Tillsvidare","Ja",4,10,1,NA,1997-02-25,261
"kvinna",49,"45-49","40-49","Ekonomi",100,0,44795,"Tillsvidare","Ja",4,10,1,NA,2013-02-12,69
"kvinna",41,"40-44","40-49","Ekonomi",100,0,51000,"Tillsvidare","Ja",4,10,1,NA,2008-12-09,119
"kvinna",38,"35-39","30-39","Ekonomi",100,100,42670,"Tillsvidare","Nej",4,10,1,NA,2010-04-16,103
"man",56,"55-59","50-59","Ekonomi",100,0,51595,"Tillsvidare","Ja",5,10,1,NA,2002-12-03,192
"man",55,"55-59","50-59","Ekonomi",100,0,51680,"Tillsvidare","Ja",5,10,1,NA,2007-09-04,135
"kvinna",54,"50-54","50-59","Ekonomi",100,0,50830,"Tillsvidare","Ja",5,10,1,NA,2000-08-01,220
"man",51,"50-54","50-59","Ekonomi",100,0,52955,"Tillsvidare","Ja",5,10,1,NA,2012-11-06,72
"man",45,"45-49","40-49","Ekonomi",100,0,52615,"Tillsvidare","Ja",5,10,1,NA,2007-01-10,142
"man",41,"40-44","40-49","Ekonomi",100,0,54825,"Tillsvidare","Ja",5,10,1,"Nej",2003-01-01,191
"man",48,"45-49","40-49","Marknad",100,0,59840,"Tillsvidare","Ja",5,10,1,"Ja",2010-09-28,98
"man",60,"60-64","60-","Marknad",100,0,58225,"Tillsvidare","Ja",5,10,1,"Ja",1993-06-09,306
"man",36,"35-39","30-39","Marknad",100,0,38505,"Tillsvidare","Nej",3,10,1,NA,2013-04-23,67
"man",28,"25-29","-29","Marknad",100,0,28560,"Tillsvidare","Nej",3,10,1,NA,2015-05-01,43
"kvinna",26,"25-29","-29","Marknad",100,0,25500,"Tillsvidare","Nej",3,10,1,NA,2016-08-16,27
"man",43,"40-44","40-49","Marknad",100,3.23,38080,"Tillsvidare","Nej",3,10,1,NA,2009-11-03,109
"kvinna",35,"35-39","30-39","Marknad",100,1.61,39355,"Tillsvidare","Nej",3,10,1,NA,2013-09-10,62
"man",31,"30-34","30-39","Marknad",100,0,31365,"Tillsvidare","Nej",3,10,1,NA,2013-06-04,66
"kvinna",40,"40-44","40-49","Marknad",100,25.16,39865,"Tillsvidare","Nej",3,10,1,NA,2013-10-01,62
"man",36,"35-39","30-39","Marknad",100,0,46750,"Tillsvidare","Nej",3,10,1,NA,2017-03-21,20
"man",36,"35-39","30-39","Marknad",100,0,24225,"Tidsbegränsad","Nej",3,10,1,NA,2016-06-12,29
"kvinna",41,"40-44","40-49","Marknad",100,0,39355,"Tillsvidare","Nej",3,10,1,NA,2004-07-31,172
"kvinna",52,"50-54","50-59","Marknad",100,0,44200,"Tillsvidare","Nej",4,10,1,NA,2000-08-01,220
"man",35,"35-39","30-39","Marknad",100,16.13,41310,"Tillsvidare","Ja",4,10,1,NA,2013-04-23,67
"kvinna",37,"35-39","30-39","Marknad",100,0,42585,"Tillsvidare","Ja",4,10,1,"Nej",2009-09-17,110
"kvinna",53,"50-54","50-59","Marknad",100,0,44455,"Tillsvidare","Nej",4,10,1,NA,2007-05-15,138
"kvinna",42,"40-44","40-49","Marknad",100,100,45985,"Tillsvidare","Nej",4,10,1,NA,2008-03-11,128
"man",45,"45-49","40-49","Marknad",100,0,44795,"Tillsvidare","Nej",4,10,1,NA,2005-11-01,157
"man",67,"65-","60-","Marknad",100,0,55165,"Tillsvidare","Ja",5,10,1,"Nej",2002-01-15,202
"kvinna",63,"60-64","60-","Marknad",100,0,50490,"Tillsvidare","Ja",5,10,1,NA,1994-05-01,295
