Kon;Alder;Alder;Alder10;Avdelning;Omfattning;Franvaro;Lon;Anstallning;Fortroendearbetstid;Karriarniva;Arbetsomrade;Arbetsomrade1;Personalansvar;Anstalld_sedan
kvinna;41;40-44;40-49;Ekonomi;100;0;34000;Tillsvidare;Nej;3;10;1;;2010-07-27
kvinna;37;35-39;30-39;Ekonomi;100;25;33320;Tillsvidare;Nej;3;10;1;;2007-10-24
man;32;30-34;30-39;Ekonomi;100;80;31790;Tillsvidare;Nej;3;10;1;;2012-06-12
kvinna;31;30-34;30-39;Ekonomi;100;0;31960;Tillsvidare;Nej;3;10;1;;2013-01-08
kvinna;51;50-54;50-59;Ekonomi;100;3;31535;Tillsvidare;Nej;3;10;1;;2002-06-01
kvinna;37;35-39;30-39;Ekonomi;100;0;39440;Tillsvidare;Ja;3;10;1;;2014-01-10
kvinna;36;35-39;30-39;Ekonomi;100;6;40800;Tillsvidare;Ja;3;10;1;;2014-09-16
kvinna;33;30-34;30-39;Ekonomi;100;100;35615;Tillsvidare;Nej;3;10;1;;2013-08-20
kvinna;30;30-34;30-39;Ekonomi;100;0;29750;Tidsbegränsad;Nej;3;10;1;;2016-08-02
man;39;35-39;30-39;Ekonomi;100;10;36550;Tidsbegränsad;Nej;3;10;1;;2016-08-31
kvinna;38;35-39;30-39;Ekonomi;100;3;36380;Tillsvidare;Nej;3;10;1;;2011-02-01
man;32;30-34;30-39;Ekonomi;100;0;31705;Tillsvidare;Nej;3;10;1;;2011-07-12
kvinna;27;25-29;-29;Ekonomi;100;0;24650;Tidsbegränsad;Nej;3;10;1;;2017-02-02
kvinna;41;40-44;40-49;Ekonomi;100;0;43690;Tillsvidare;Nej;4;10;1;;2003-02-01
man;49;45-49;40-49;Ekonomi;100;0;43775;Tillsvidare;Ja;4;10;1;;2004-04-21
kvinna;45;45-49;40-49;Ekonomi;100;25;40120;Tillsvidare;Nej;4;10;1;;1999-06-22
man;44;40-44;40-49;Ekonomi;100;0;43010;Tillsvidare;Ja;4;10;1;;2003-02-12
kvinna;49;45-49;40-49;Ekonomi;100;0;44625;Tillsvidare;Nej;4;10;1;;1996-08-31
man;46;45-49;40-49;Ekonomi;100;0;44625;Tillsvidare;Ja;4;10;1;;2002-06-01
kvinna;42;40-44;40-49;Ekonomi;100;100;44965;Tillsvidare;Ja;4;10;1;;2010-02-16
kvinna;36;35-39;30-39;Ekonomi;100;0;43010;Tillsvidare;Ja;4;10;1;;2012-12-31
man;55;55-59;50-59;Ekonomi;100;0;40120;Tillsvidare;Ja;4;10;1;;1997-02-25
kvinna;49;45-49;40-49;Ekonomi;100;0;44795;Tillsvidare;Ja;4;10;1;;2013-02-12
kvinna;41;40-44;40-49;Ekonomi;100;0;51000;Tillsvidare;Ja;4;10;1;;2008-12-09
kvinna;38;35-39;30-39;Ekonomi;100;100;42670;Tillsvidare;Nej;4;10;1;;2010-04-16
man;56;55-59;50-59;Ekonomi;100;0;51595;Tillsvidare;Ja;5;10;1;;2002-12-03
